onset	duration	nwb_table
0.0	17661.208333333332	epochs
17661.208333333332	1910.6041666666679	epochs
17661.208333333332	3.0096354166671517	trials
17675.93548177083	3.2061848958328483	trials
17707.112499999996	3.6916666666656965	trials
17712.6625	3.696354166666424	trials
17718.497916666667	3.756249999998545	trials
17728.524999999998	4.21875	trials
17734.621874999997	3.157291666670062	trials
17741.651103719072	4.246128845217754	trials
17748.595833333333	3.212499999997817	trials
17759.870833333334	2.8249999999970896	trials
17765.475	3.735416666666424	trials
17774.23333333333	3.3333333333357587	trials
17781.05937525431	4.330794016521395	trials
17799.129166666666	3.3611979166671517	trials
17807.478124999998	3.430208333335031	trials
17821.013834635414	3.2653320312529104	trials
17826.435156249998	2.8234374999992724	trials
17840.223424975073	3.2997521082616004	trials
17845.906998697916	3.293001302081393	trials
17854.64583333333	3.3536458333364862	trials
17860.810416666664	3.233333333333576	trials
17877.2125	3.391666666662786	trials
17883.68333333333	3.2208333333328483	trials
17889.279166666667	3.2083333333284827	trials
17894.829166666663	3.0895833333343035	trials
17899.79739583333	3.873437499998545	trials
17908.020833333332	3.600000000002183	trials
17913.9428141276	3.207185872397531	trials
17923.220833333333	2.525000000001455	trials
17927.824999999997	2.9187500000007276	trials
17936.8625	3.1833333333306655	trials
17941.57395833333	3.446874999997817	trials
17947.447916666664	3.414583333331393	trials
17953.859375	3.4031249999970896	trials
17960.341666666667	4.020833333332121	trials
17966.67083333333	3.2833333333328483	trials
17971.725	4.454166666666424	trials
17977.801822916663	3.3356770833343035	trials
17983.01458333333	3.7145833333343035	trials
17993.507889811197	4.46502685546875	trials
18000.062141927083	3.15869140625	trials
18008.35833333333	3.84375	trials
18013.64583333333	2.914583333335031	trials
18022.161328124996	2.6761718750058208	trials
18031.892708333333	2.6614583333321207	trials
18035.104166666664	2.9499999999970896	trials
18039.502083333333	3.164583333331393	trials
18043.96223958333	3.4627604166671517	trials
18049.54583333333	3.1583333333328483	trials
18061.029166666667	2.5749999999970896	trials
18070.80833333333	2.795833333333576	trials
18079.241666666665	3.2999999999992724	trials
18085.0	2.5666666666656965	trials
18094.80833333333	3.4947916666678793	trials
18100.071354166666	3.311979166664969	trials
18104.897916666665	3.3699218750007276	trials
18109.173136393227	3.4435302734382276	trials
18114.829166666663	3.0291666666671517	trials
18124.71575520833	3.188411458337214	trials
18134.104166666664	3.366666666668607	trials
18140.03528645833	2.710546875005093	trials
18159.259635416667	4.085416666664969	trials
18170.27083333333	4.17613932292079	trials
18175.86103922526	5.635900878907705	trials
18181.669661458334	3.551171874998545	trials
18190.46184895833	4.295385742188955	trials
18203.47063802083	5.068849690753268	trials
18209.59921875	4.369791666664241	trials
18226.154166666667	6.091666666663514	trials
18232.271875	3.998958333329938	trials
18238.26015625	6.2888020833343035	trials
18245.382291666665	3.4835937499992724	trials
18250.651041666664	7.973958333335759	trials
18275.822916666664	6.157812500001455	trials
18282.08046875	3.6236979166678793	trials
18287.910986328123	6.079899088541424	trials
18294.405598958332	3.278776041664969	trials
18300.409895833334	6.1989583333306655	trials
18306.637499999997	3.283268229166424	trials
18312.779166666664	5.533333333332848	trials
18328.229166666664	2.4583333333357587	trials
18335.447916666664	3.5416666666678793	trials
18340.8125	2.962499999997817	trials
18358.596793619792	4.00737304687209	trials
18364.247916666667	3.006249999998545	trials
18371.6625	2.804166666668607	trials
18377.0	3.211458333331393	trials
18385.52083333333	2.9250000000029104	trials
18389.630470720927	3.5403626124025322	trials
18399.32083333333	3.133333333331393	trials
18414.891666666663	2.9041666666671517	trials
18420.055240885413	3.2072591145843035	trials
18426.22708333333	3.4562499999992724	trials
18431.993749999998	3.235416666666424	trials
18437.824999999997	3.1458333333357587	trials
18457.438281249997	3.6794270833343035	trials
18468.1796875	3.4313802083306655	trials
18473.987499999996	3.3645833333357587	trials
18478.845833333333	3.0994791666671517	trials
18484.14583333333	3.900000000001455	trials
18489.447916666664	3.5901041666656965	trials
18494.329166666663	3.5833333333357587	trials
18499.57083333333	3.577083333333576	trials
18506.029166666667	3.531249999996362	trials
18515.585416666665	3.3145833333328483	trials
18521.146875	3.0510416666656965	trials
18526.092903645833	3.9445963541656965	trials
18533.556249999998	3.319791666664969	trials
18545.645833333332	3.0859375	trials
18551.621744791664	4.224088541668607	trials
18558.408333333333	3.453434244787786	trials
18565.364583333332	3.3145833333292103	trials
18570.30416666666	3.587500000001455	trials
18576.77083333333	3.775000000001455	trials
18582.104166666664	3.7625000000007276	trials
18587.157291666663	4.2385416666656965	trials
18593.77083333333	4.06041666667079	trials
18599.465624999997	3.9968750000043656	trials
18609.337239583332	2.5544270833306655	trials
18616.4375	3.203125	trials
18620.510416666664	3.702083333337214	trials
18643.012499999997	4.983333333337214	trials
18649.033333333333	2.8727864583343035	trials
18654.041666666664	2.9375	trials
18672.182706705727	4.520548502605379	trials
18726.189399210612	3.537684122718929	trials
18737.035582272212	3.251917727786349	trials
18742.691666666666	4.016666666666424	trials
18756.04583333333	3.8000000000029104	trials
18763.247916666667	3.1895833333328483	trials
18763.57083333333	2.866666666668607	trials
18783.097395833334	5.360937499997817	trials
18812.387499999997	3.912499999998545	trials
18825.07083333333	4.069270833333576	trials
18861.6875	3.6875	trials
18872.375	3.6833333333306655	trials
18884.828385416666	3.652864583331393	trials
18897.729166666664	3.9572916666656965	trials
18910.28125	4.243749999997817	trials
18922.9375	3.920833333329938	trials
18949.54583333333	2.766666666670062	trials
18955.377083333333	3.4645833333343035	trials
18964.664173348745	6.372936026255047	trials
18972.995833333334	3.1916666666656965	trials
18993.941666666666	3.329166666662786	trials
19009.729166666664	3.554166666664969	trials
19015.2921875	3.584895833333576	trials
19022.1875	2.983333333329938	trials
19027.39583333333	3.054166666668607	trials
19035.034374999996	5.682291666671517	trials
19051.595833333333	3.0281249999970896	trials
19058.94583333333	3.150000000001455	trials
19070.00833333333	2.9708333333328483	trials
19074.719791666663	3.6510416666715173	trials
19080.32083333333	3.224999999998545	trials
19085.020833333332	3.781249999996362	trials
19093.54583333333	3.4083333333328483	trials
19105.6875	3.116666666664969	trials
19112.0625	3.0916666666671517	trials
19131.229166666664	4.5041666666656965	trials
19142.16458333333	3.1979166666642413	trials
19151.303125	4.351041666668607	trials
19161.163541666665	3.748958333333576	trials
19169.813932291665	3.2688802083321207	trials
19177.870833333334	2.5833333333284827	trials
19191.888834635414	3.6569986979156965	trials
19214.394694010418	5.317805989579938	trials
19219.766796874996	3.470703125	trials
19227.7875	2.8416666666671517	trials
19232.8375	3.0833333333284827	trials
19237.544234212237	3.576599121097388	trials
19249.449999999997	3.287499999998545	trials
19253.452115885415	4.779654947917152	trials
19260.898486328122	3.364013671875	trials
19266.370833333334	3.3541666666642413	trials
19271.35	3.3791666666656965	trials
19276.893749999996	3.4020833333343035	trials
19282.27414550781	3.5216878255196207	trials
19287.216666666664	3.2791666666707897	trials
19291.979166666664	3.0416666666642413	trials
19297.10833333333	3.0916666666671517	trials
19331.139583333334	4.13749999999709	trials
19339.67161458333	3.396093749997817	trials
19345.033333333333	4.0625	trials
19358.880208333332	4.284374999999272	trials
19363.488541666666	4.490624999998545	trials
19370.453125	3.384375000001455	trials
19375.054166666665	3.475000000002183	trials
19382.745833333334	3.0666666666656965	trials
19386.835925292966	3.4599080403640983	trials
19392.618619791665	3.7063802083321207	trials
19404.16067708333	3.301822916670062	trials
19409.83125	3.366666666664969	trials
19417.55416666666	3.2062500000029104	trials
19423.957812499997	3.8963541666671517	trials
19454.685416666664	2.897916666668607	trials
19463.634374999998	2.944791666664969	trials
19469.887988281247	3.1745117187529104	trials
19474.674999999996	2.920833333337214	trials
19485.197916666664	3.6854166666671517	trials
19490.1703125	3.8796874999970896	trials
19496.458333333332	2.6124999999992724	trials
19500.66614583333	3.3088541666693345	trials
19506.091666666667	2.9958333333343035	trials
19518.28333333333	3.7000000000007276	trials
19524.729166666664	3.3000000000029104	trials
19531.645849609373	3.395817057291424	trials
19555.643359374997	3.7774739583328483	trials
19560.91458333333	4.022916666668607	trials
19569.10833333333	2.704166666670062	trials
19571.8125	11887.9755	epochs
