onset	duration	nwb_table	direction	trial_type
0.0	10536.650000000001	epochs		
10536.650000000001	2700.4333333333325	epochs		
10536.650000000001	4.924999999999272	trials	clockwise	wheel alternation
10547.325	3.2833333333328483	trials	counter-clockwise	wheel alternation
10558.141666666668	3.2833333333328483	trials	clockwise	wheel alternation
10567.358333333334	2.858333333333576	trials	clockwise	wheel alternation
10580.025000000001	3.224999999998545	trials	clockwise	wheel alternation
10620.758333333335	3.1833333333324845	trials	clockwise	wheel alternation
10638.841666666667	3.1666666666678793	trials	clockwise	wheel alternation
10644.416666666668	2.858333333333576	trials	clockwise	wheel alternation
10673.766666666668	3.016666666666424	trials	clockwise	wheel alternation
10687.408333333335	2.9499999999989086	trials	clockwise	wheel alternation
10692.241666666667	2.7833333333346673	trials	clockwise	wheel alternation
10700.375	3.516666666668243	trials	clockwise	wheel alternation
10706.966666666667	2.6916666666675155	trials	clockwise	wheel alternation
10715.883333333335	2.974999999998545	trials	clockwise	wheel alternation
10721.108333333334	2.775000000001455	trials	clockwise	wheel alternation
10728.275000000001	2.9666666666653327	trials	clockwise	wheel alternation
10734.941666666668	2.725000000000364	trials	clockwise	wheel alternation
10743.900000000001	3.633333333333212	trials	clockwise	wheel alternation
10749.058333333334	2.5750000000007276	trials	clockwise	wheel alternation
10765.233333333334	5.033333333334667	trials	clockwise	wheel alternation
10773.983333333334	3.3000000000010914	trials	clockwise	wheel alternation
10785.216666666667	2.875	trials	clockwise	wheel alternation
10790.475	3.258333333333212	trials	clockwise	wheel alternation
10799.95	3.9083333333328483	trials	clockwise	wheel alternation
10805.391666666668	5.54166666666606	trials	clockwise	wheel alternation
10815.650000000001	5.516666666666424	trials	clockwise	wheel alternation
10827.991666666667	3.775000000001455	trials	clockwise	wheel alternation
10839.650000000001	2.6916666666656965	trials	clockwise	wheel alternation
10843.691666666668	3.4666666666671517	trials	clockwise	wheel alternation
10852.125	6.0666666666675155	trials	clockwise	wheel alternation
10875.425000000001	4.533333333332848	trials	clockwise	wheel alternation
10882.7	3.5750000000007276	trials	clockwise	wheel alternation
10891.575	3.116666666666788	trials	clockwise	wheel alternation
10895.475	4.450000000000728	trials	clockwise	wheel alternation
10931.566666666668	5.283333333332848	trials	clockwise	wheel alternation
10942.608333333334	3.116666666666788	trials	clockwise	wheel alternation
10947.25	3.4666666666671517	trials	clockwise	wheel alternation
10952.1	4.291666666667879	trials	clockwise	wheel alternation
10964.216666666667	4.841666666667152	trials	clockwise	wheel alternation
10973.925000000001	2.6916666666656965	trials	clockwise	wheel alternation
10980.325	3.8250000000007276	trials	clockwise	wheel alternation
10986.516666666668	6.258333333333212	trials	clockwise	wheel alternation
10994.658333333335	4.283333333332848	trials	clockwise	wheel alternation
11004.458333333334	4.633333333333212	trials	clockwise	wheel alternation
11012.5	3.008333333335031	trials	clockwise	wheel alternation
11019.558333333334	3.524999999999636	trials	clockwise	wheel alternation
11025.5	3.858333333333576	trials	clockwise	wheel alternation
11034.316666666668	5.0666666666675155	trials	clockwise	wheel alternation
11050.733333333334	2.8166666666675155	trials	clockwise	wheel alternation
11056.225	3.1666666666678793	trials	clockwise	wheel alternation
11075.241666666667	3.8416666666671517	trials	clockwise	wheel alternation
11080.866666666667	4.625	trials	clockwise	wheel alternation
11086.241666666667	3.75	trials	clockwise	wheel alternation
11093.641666666668	2.883333333333212	trials	clockwise	wheel alternation
11099.6	2.891666666666424	trials	clockwise	wheel alternation
11107.641666666668	7.083333333332121	trials	clockwise	wheel alternation
11115.691666666668	3.858333333333576	trials	clockwise	wheel alternation
11133.725	3.866666666666788	trials	clockwise	wheel alternation
11142.1	2.608333333333576	trials	clockwise	wheel alternation
11147.083333333334	3.3000000000010914	trials	clockwise	central alternation
11156.383333333335	3.9499999999989086	trials	clockwise	central alternation
11164.95	3.375	trials	clockwise	central alternation
11171.975	2.9583333333339397	trials	clockwise	central alternation
11177.725	3.2166666666671517	trials	clockwise	central alternation
11198.316666666668	3.6749999999992724	trials	clockwise	central alternation
11204.325	3.375	trials	clockwise	central alternation
11218.433333333334	3.225000000000364	trials	clockwise	central alternation
11229.583333333334	2.75	trials	clockwise	central alternation
11235.175000000001	3.391666666666424	trials	clockwise	central alternation
11240.383333333335	2.649999999999636	trials	clockwise	central alternation
11246.275000000001	2.741666666666788	trials	clockwise	central alternation
11257.775000000001	3.858333333333576	trials	clockwise	central alternation
11272.383333333335	4.008333333333212	trials	clockwise	central alternation
11296.6	3.366666666666788	trials	counter-clockwise	wheel alternation
11302.325	3.5	trials	counter-clockwise	wheel alternation
11309.6	3.2166666666671517	trials	counter-clockwise	wheel alternation
11316.058333333334	4.950000000000728	trials	counter-clockwise	wheel alternation
11327.633333333335	3.024999999999636	trials	counter-clockwise	wheel alternation
11333.091666666667	3.8250000000007276	trials	counter-clockwise	wheel alternation
11340.816666666668	3.3250000000007276	trials	counter-clockwise	wheel alternation
11348.0	3.7000000000007276	trials	counter-clockwise	wheel alternation
11358.566666666668	2.7999999999992724	trials	counter-clockwise	wheel alternation
11363.150000000001	3.849999999998545	trials	counter-clockwise	wheel alternation
11373.35	3.4333333333343035	trials	counter-clockwise	wheel alternation
11380.150000000001	3.9083333333328483	trials	counter-clockwise	wheel alternation
11392.45	3.0833333333339397	trials	counter-clockwise	central alternation
11398.758333333335	3.125	trials	counter-clockwise	central alternation
11406.133333333335	3.758333333333212	trials	counter-clockwise	central alternation
11413.808333333334	3.524999999999636	trials	counter-clockwise	central alternation
11433.266666666668	3.9249999999992724	trials	counter-clockwise	central alternation
11439.833333333334	5.700000000000728	trials	counter-clockwise	central alternation
11445.958333333334	3.1750000000010914	trials	counter-clockwise	central alternation
11451.141666666668	3.399999999999636	trials	counter-clockwise	central alternation
11457.516666666668	3.266666666666424	trials	counter-clockwise	central alternation
11463.741666666667	4.075000000000728	trials	counter-clockwise	central alternation
11482.166666666668	3.1833333333324845	trials	counter-clockwise	central alternation
11487.425000000001	3.116666666666788	trials	counter-clockwise	central alternation
11495.591666666667	3.2000000000007276	trials	counter-clockwise	central alternation
11501.433333333334	4.1916666666656965	trials	counter-clockwise	central alternation
11515.625	2.5333333333346673	trials	counter-clockwise	central alternation
11524.191666666668	2.8333333333339397	trials	counter-clockwise	wheel alternation
11532.233333333334	3.2833333333346673	trials	counter-clockwise	wheel alternation
11539.008333333335	3.0416666666660603	trials	counter-clockwise	wheel alternation
11585.241666666667	4.425000000001091	trials	counter-clockwise	wheel alternation
11592.666666666668	4.9333333333324845	trials	counter-clockwise	wheel alternation
11599.816666666668	4.350000000000364	trials	counter-clockwise	wheel alternation
