onset	duration	nwb_table	direction	trial_type	label
0.0	13396.586225	epochs			
5.0	545.0	sleep_states			Awake
551.0	43.0	sleep_states			Non-REM
595.0	12.0	sleep_states			MA
608.0	22.0	sleep_states			Non-REM
631.0	13.0	sleep_states			MA
645.0	9.0	sleep_states			Non-REM
655.0	447.0	sleep_states			Awake
1103.0	14.0	sleep_states			Non-REM
1118.0	41.0	sleep_states			MA
1160.0	154.0	sleep_states			Non-REM
1315.0	23.0	sleep_states			MA
1339.0	16.0	sleep_states			Non-REM
1356.0	472.0	sleep_states			Awake
1829.0	10.0	sleep_states			Non-REM
1840.0	9.0	sleep_states			MA
1850.0	14.0	sleep_states			Non-REM
1865.0	17.0	sleep_states			MA
1883.0	129.0	sleep_states			Non-REM
2013.0	22.0	sleep_states			MA
2036.0	14.0	sleep_states			Non-REM
2051.0	60.0	sleep_states			MA
2112.0	50.0	sleep_states			Non-REM
2163.0	16.0	sleep_states			MA
2180.0	23.0	sleep_states			Non-REM
2204.0	582.0	sleep_states			Awake
2787.0	12.0	sleep_states			Non-REM
2800.0	346.0	sleep_states			Awake
3147.0	19.0	sleep_states			Non-REM
3167.0	14.0	sleep_states			MA
3182.0	165.0	sleep_states			Non-REM
3348.0	18.0	sleep_states			MA
3367.0	138.0	sleep_states			Non-REM
3506.0	9.0	sleep_states			MA
3516.0	111.0	sleep_states			Non-REM
3628.0	9.0	sleep_states			MA
3638.0	27.0	sleep_states			Non-REM
3666.0	49.0	sleep_states			MA
3716.0	75.0	sleep_states			Non-REM
3792.0	14.0	sleep_states			MA
3807.0	153.0	sleep_states			Non-REM
3961.0	10.0	sleep_states			REM
3972.0	27.0	sleep_states			MA
4000.0	122.0	sleep_states			Non-REM
4123.0	28.0	sleep_states			MA
4152.0	119.0	sleep_states			Non-REM
4272.0	67.0	sleep_states			REM
4340.0	13.0	sleep_states			MA
4354.0	22.0	sleep_states			Non-REM
4377.0	1372.0	sleep_states			Awake
