onset	duration	nwb_table	direction	trial_type	label
0.0	13831.441666666666	epochs			
5.0	884.0	sleep_states			Awake
890.0	9.0	sleep_states			Non-REM
900.0	35.0	sleep_states			MA
936.0	7.0	sleep_states			Non-REM
944.0	344.0	sleep_states			Awake
1289.0	50.0	sleep_states			Non-REM
1340.0	9.0	sleep_states			MA
1350.0	77.0	sleep_states			Non-REM
1428.0	17.0	sleep_states			MA
1446.0	7.0	sleep_states			Non-REM
1454.0	7.0	sleep_states			MA
1462.0	54.0	sleep_states			Non-REM
1517.0	401.0	sleep_states			Awake
1919.0	29.0	sleep_states			Non-REM
1949.0	13.0	sleep_states			MA
1963.0	10.0	sleep_states			Non-REM
1974.0	10.0	sleep_states			MA
1985.0	24.0	sleep_states			Non-REM
2010.0	10.0	sleep_states			MA
2021.0	21.0	sleep_states			Non-REM
2043.0	7.0	sleep_states			MA
2051.0	19.0	sleep_states			Non-REM
2071.0	7.0	sleep_states			MA
2079.0	11.0	sleep_states			Non-REM
2091.0	32.0	sleep_states			MA
2124.0	20.0	sleep_states			Non-REM
2145.0	19.0	sleep_states			MA
2165.0	83.0	sleep_states			Non-REM
2249.0	13.0	sleep_states			MA
2263.0	125.0	sleep_states			Non-REM
2389.0	35.0	sleep_states			MA
2425.0	36.0	sleep_states			Non-REM
2462.0	17.0	sleep_states			MA
2480.0	117.0	sleep_states			Non-REM
2598.0	19.0	sleep_states			MA
2618.0	108.0	sleep_states			Non-REM
2727.0	22.0	sleep_states			REM
2750.0	14.0	sleep_states			MA
2765.0	12.0	sleep_states			Non-REM
2778.0	13.0	sleep_states			MA
2792.0	62.0	sleep_states			Non-REM
2855.0	18.0	sleep_states			MA
2874.0	39.0	sleep_states			Non-REM
2914.0	22.0	sleep_states			MA
2937.0	78.0	sleep_states			Non-REM
3016.0	904.0	sleep_states			Awake
3921.0	8.0	sleep_states			Non-REM
3930.0	11.0	sleep_states			MA
3942.0	43.0	sleep_states			Non-REM
3986.0	9.0	sleep_states			MA
3996.0	77.0	sleep_states			Non-REM
4074.0	10.0	sleep_states			MA
4085.0	86.0	sleep_states			Non-REM
4172.0	30.0	sleep_states			MA
4203.0	46.0	sleep_states			Non-REM
4250.0	7.0	sleep_states			MA
4258.0	28.0	sleep_states			Non-REM
4287.0	50.0	sleep_states			MA
4338.0	61.0	sleep_states			Non-REM
4400.0	40.0	sleep_states			MA
4441.0	153.0	sleep_states			Non-REM
4611.0	68.0	sleep_states			REM
4680.0	26.0	sleep_states			MA
4707.0	34.0	sleep_states			Non-REM
4742.0	15.0	sleep_states			MA
4758.0	129.0	sleep_states			Non-REM
4888.0	23.0	sleep_states			MA
4912.0	135.0	sleep_states			Non-REM
5048.0	17.0	sleep_states			MA
5066.0	113.0	sleep_states			Non-REM
5189.0	139.0	sleep_states			REM
5329.0	13.0	sleep_states			MA
5343.0	51.0	sleep_states			Non-REM
5395.0	7.0	sleep_states			MA
5403.0	83.0	sleep_states			Non-REM
5487.0	623.0	sleep_states			Awake
6111.0	19.0	sleep_states			Non-REM
6131.0	57.0	sleep_states			MA
6189.0	8.0	sleep_states			Non-REM
6198.0	19.0	sleep_states			MA
6218.0	16.0	sleep_states			Non-REM
6235.0	27.0	sleep_states			MA
6263.0	15.0	sleep_states			Non-REM
6279.0	12.0	sleep_states			MA
6292.0	91.0	sleep_states			Non-REM
6384.0	11.0	sleep_states			MA
6396.0	17.0	sleep_states			Non-REM
6414.0	9.0	sleep_states			MA
6424.0	17.0	sleep_states			Non-REM
6442.0	10.0	sleep_states			MA
6453.0	36.0	sleep_states			Non-REM
6490.0	14.0	sleep_states			MA
6505.0	66.0	sleep_states			Non-REM
6572.0	11.0	sleep_states			MA
6584.0	54.0	sleep_states			Non-REM
6639.0	15.0	sleep_states			MA
6655.0	67.0	sleep_states			Non-REM
6723.0	37.0	sleep_states			MA
6761.0	37.0	sleep_states			Non-REM
6799.0	20.0	sleep_states			MA
6820.0	102.0	sleep_states			Non-REM
6923.0	7.0	sleep_states			MA
6931.0	79.0	sleep_states			Non-REM
7011.0	104.0	sleep_states			REM
7116.0	18.0	sleep_states			MA
7135.0	15.0	sleep_states			Non-REM
7151.0	10.0	sleep_states			MA
7162.0	37.0	sleep_states			Non-REM
7200.0	18.0	sleep_states			MA
7219.0	81.0	sleep_states			Non-REM
7301.0	12.0	sleep_states			MA
7314.0	78.0	sleep_states			Non-REM
7393.0	17.0	sleep_states			MA
7411.0	74.0	sleep_states			Non-REM
7486.0	18.0	sleep_states			MA
7505.0	45.0	sleep_states			Non-REM
7551.0	8.0	sleep_states			MA
7560.0	45.0	sleep_states			Non-REM
7606.0	11.0	sleep_states			MA
7618.0	70.0	sleep_states			Non-REM
7706.0	7.0	sleep_states			REM
7714.0	60.0	sleep_states			MA
7775.0	40.0	sleep_states			Non-REM
7816.0	8.0	sleep_states			MA
7825.0	138.0	sleep_states			Non-REM
7964.0	88.0	sleep_states			REM
8073.0	56.0	sleep_states			REM
8130.0	13.0	sleep_states			MA
8144.0	7.0	sleep_states			Non-REM
8152.0	119.0	sleep_states			Awake
8272.0	61.0	sleep_states			Non-REM
8334.0	15.0	sleep_states			MA
8350.0	30.0	sleep_states			Non-REM
8381.0	12.0	sleep_states			MA
8394.0	35.0	sleep_states			Non-REM
8430.0	29.0	sleep_states			MA
8460.0	9.0	sleep_states			Non-REM
8470.0	30.0	sleep_states			MA
8501.0	46.0	sleep_states			Non-REM
8548.0	27.0	sleep_states			MA
8576.0	11.0	sleep_states			Non-REM
8588.0	7.0	sleep_states			MA
8596.0	45.0	sleep_states			Non-REM
8642.0	39.0	sleep_states			MA
8682.0	48.0	sleep_states			Non-REM
8731.0	1580.0	sleep_states			Awake
10312.0	47.0	sleep_states			Non-REM
10360.0	40.0	sleep_states			MA
10401.0	30.0	sleep_states			Non-REM
10432.0	17.0	sleep_states			MA
10450.0	13.0	sleep_states			Non-REM
10464.0	30.0	sleep_states			MA
10495.0	107.0	sleep_states			Non-REM
10603.0	44.0	sleep_states			MA
10648.0	9.0	sleep_states			Non-REM
10658.0	67.0	sleep_states			MA
10726.0	12.0	sleep_states			Non-REM
10739.0	28.0	sleep_states			MA
10768.0	9.0	sleep_states			Non-REM
10778.0	29.0	sleep_states			MA
10808.0	8.0	sleep_states			Non-REM
10817.0	27.0	sleep_states			MA
10845.0	18.0	sleep_states			Non-REM
10864.0	1899.0	sleep_states			Awake
12764.0	14.0	sleep_states			Non-REM
12779.0	1661.0	sleep_states			Awake
13831.441666666666	3850.033333333333	epochs			
13831.441666666666	5.549999999999272	trials	counter-clockwise	wheel alternation	
14441.0	11.0	sleep_states			Non-REM
14453.0	91.0	sleep_states			MA
14545.0	24.0	sleep_states			Non-REM
14570.0	28.0	sleep_states			MA
14599.0	10.0	sleep_states			Non-REM
14610.0	100.0	sleep_states			MA
14711.0	10.0	sleep_states			Non-REM
14722.0	410.0	sleep_states			Awake
15133.0	15.0	sleep_states			REM
15149.0	12.0	sleep_states			Non-REM
15162.0	2562.0	sleep_states			Awake
15278.333333333332	3.9499999999989086	trials	counter-clockwise	wheel alternation	
15285.066666666666	4.516666666666424	trials	counter-clockwise	wheel alternation	
15292.833333333332	4.074999999998909	trials	counter-clockwise	wheel alternation	
15298.841666666665	3.875	trials	counter-clockwise	wheel alternation	
15318.316666666666	3.6833333333324845	trials	counter-clockwise	wheel alternation	
15324.016666666665	4.466666666667152	trials	counter-clockwise	wheel alternation	
15331.524999999998	4.416666666667879	trials	counter-clockwise	wheel alternation	
15337.158333333331	4.1833333333343035	trials	counter-clockwise	wheel alternation	
15345.949999999999	4.0	trials	counter-clockwise	wheel alternation	
15394.208333333332	4.966666666665333	trials	counter-clockwise	wheel alternation	
15403.133333333331	4.325000000000728	trials	counter-clockwise	wheel alternation	
15428.241666666665	4.283333333332848	trials	counter-clockwise	wheel alternation	
15463.866666666665	4.600000000000364	trials	counter-clockwise	wheel alternation	
15476.333333333332	3.649999999999636	trials	counter-clockwise	wheel alternation	
15481.591666666665	4.5	trials	counter-clockwise	wheel alternation	
