onset	duration	nwb_table	direction	trial_type	label
0.0	12197.191666666666	epochs			
5.0	157.0	sleep_states			Awake
163.0	11.0	sleep_states			Non-REM
202.0	19.0	sleep_states			Non-REM
222.0	349.0	sleep_states			Awake
572.0	8.0	sleep_states			Non-REM
638.0	19.0	sleep_states			Non-REM
704.0	19.0	sleep_states			Non-REM
792.0	16.0	sleep_states			Non-REM
825.0	9.0	sleep_states			Non-REM
857.0	11.0	sleep_states			Non-REM
869.0	214.0	sleep_states			Awake
1084.0	7.0	sleep_states			Non-REM
1092.0	112.0	sleep_states			Awake
1205.0	10.0	sleep_states			Non-REM
1255.0	17.0	sleep_states			Non-REM
1281.0	210.0	sleep_states			Non-REM
1492.0	227.0	sleep_states			Awake
1720.0	46.0	sleep_states			Non-REM
1767.0	104.0	sleep_states			Awake
1872.0	32.0	sleep_states			Non-REM
1905.0	243.0	sleep_states			Awake
2149.0	9.0	sleep_states			Non-REM
2222.0	8.0	sleep_states			Non-REM
2242.0	89.0	sleep_states			Non-REM
2332.0	186.0	sleep_states			Awake
2519.0	172.0	sleep_states			Non-REM
2734.0	8.0	sleep_states			Non-REM
2796.0	41.0	sleep_states			Non-REM
2838.0	352.0	sleep_states			Awake
3191.0	9.0	sleep_states			Non-REM
3212.0	18.0	sleep_states			Non-REM
3244.0	11.0	sleep_states			Non-REM
3269.0	86.0	sleep_states			Non-REM
3388.0	7.0	sleep_states			Non-REM
3396.0	221.0	sleep_states			Awake
3618.0	488.0	sleep_states			Non-REM
4122.0	772.0	sleep_states			Non-REM
4895.0	11.0	sleep_states			REM
4907.0	34.0	sleep_states			Non-REM
4953.0	103.0	sleep_states			Non-REM
5082.0	77.0	sleep_states			Non-REM
5160.0	137.0	sleep_states			REM
5298.0	661.0	sleep_states			Non-REM
5971.0	216.0	sleep_states			Non-REM
6196.0	348.0	sleep_states			Non-REM
6556.0	112.0	sleep_states			Non-REM
6679.0	170.0	sleep_states			Non-REM
6850.0	18.0	sleep_states			REM
6879.0	28.0	sleep_states			Non-REM
6908.0	61.0	sleep_states			REM
6970.0	55.0	sleep_states			Non-REM
7026.0	58.0	sleep_states			REM
7085.0	398.0	sleep_states			Non-REM
7493.0	27.0	sleep_states			Non-REM
7521.0	133.0	sleep_states			REM
