onset	duration	nwb_table	direction	trial_type	label
0.0	14904.541666666666	epochs			
5.0	117.0	sleep_states			Awake
123.0	8.0	sleep_states			Non-REM
132.0	814.0	sleep_states			Awake
947.0	19.0	sleep_states			Non-REM
967.0	91.0	sleep_states			MA
1059.0	10.0	sleep_states			Non-REM
1070.0	34.0	sleep_states			MA
1105.0	9.0	sleep_states			Non-REM
1115.0	95.0	sleep_states			MA
1211.0	9.0	sleep_states			Non-REM
1221.0	67.0	sleep_states			MA
1289.0	13.0	sleep_states			Non-REM
1303.0	8.0	sleep_states			MA
1312.0	13.0	sleep_states			Non-REM
1326.0	207.0	sleep_states			Awake
1534.0	40.0	sleep_states			Non-REM
1575.0	16.0	sleep_states			MA
1592.0	132.0	sleep_states			Non-REM
1725.0	8.0	sleep_states			MA
1734.0	149.0	sleep_states			Non-REM
1884.0	10.0	sleep_states			REM
1895.0	32.0	sleep_states			MA
1928.0	135.0	sleep_states			Non-REM
2064.0	109.0	sleep_states			REM
2174.0	53.0	sleep_states			MA
2228.0	9.0	sleep_states			Non-REM
2238.0	296.0	sleep_states			Awake
2535.0	241.0	sleep_states			Non-REM
2777.0	17.0	sleep_states			MA
2795.0	63.0	sleep_states			Non-REM
2859.0	105.0	sleep_states			Awake
2965.0	64.0	sleep_states			Non-REM
3030.0	33.0	sleep_states			MA
3064.0	78.0	sleep_states			Non-REM
3143.0	21.0	sleep_states			MA
3165.0	130.0	sleep_states			Non-REM
3296.0	41.0	sleep_states			MA
3338.0	145.0	sleep_states			Non-REM
3496.0	42.0	sleep_states			REM
3548.0	10.0	sleep_states			REM
3576.0	52.0	sleep_states			REM
3629.0	41.0	sleep_states			MA
3671.0	23.0	sleep_states			Non-REM
3695.0	49.0	sleep_states			MA
3745.0	11.0	sleep_states			Non-REM
3757.0	794.0	sleep_states			Awake
4552.0	8.0	sleep_states			Non-REM
4561.0	85.0	sleep_states			MA
4647.0	10.0	sleep_states			Non-REM
4658.0	144.0	sleep_states			Awake
4803.0	9.0	sleep_states			Non-REM
4813.0	75.0	sleep_states			MA
4889.0	14.0	sleep_states			Non-REM
4904.0	21.0	sleep_states			MA
4926.0	98.0	sleep_states			Non-REM
5025.0	54.0	sleep_states			MA
5080.0	170.0	sleep_states			Non-REM
5251.0	34.0	sleep_states			REM
5286.0	23.0	sleep_states			MA
5310.0	7.0	sleep_states			Non-REM
5318.0	36.0	sleep_states			MA
5355.0	229.0	sleep_states			Non-REM
5585.0	12.0	sleep_states			MA
5598.0	39.0	sleep_states			Non-REM
5638.0	39.0	sleep_states			REM
5678.0	51.0	sleep_states			MA
5730.0	22.0	sleep_states			Non-REM
5753.0	98.0	sleep_states			MA
5852.0	31.0	sleep_states			Non-REM
5884.0	1623.0	sleep_states			Awake
7508.0	260.0	sleep_states			Non-REM
7769.0	11.0	sleep_states			REM
7802.0	56.0	sleep_states			REM
7859.0	8.0	sleep_states			MA
7868.0	28.0	sleep_states			Non-REM
7897.0	28.0	sleep_states			MA
7926.0	50.0	sleep_states			Non-REM
7977.0	14.0	sleep_states			MA
7992.0	87.0	sleep_states			Non-REM
8080.0	13.0	sleep_states			MA
8094.0	288.0	sleep_states			Non-REM
8383.0	8.0	sleep_states			MA
8392.0	86.0	sleep_states			Non-REM
8479.0	62.0	sleep_states			MA
8542.0	276.0	sleep_states			Non-REM
8819.0	111.0	sleep_states			REM
8931.0	33.0	sleep_states			MA
8965.0	11.0	sleep_states			Non-REM
8977.0	11.0	sleep_states			MA
8989.0	14.0	sleep_states			Non-REM
9004.0	11.0	sleep_states			MA
9016.0	365.0	sleep_states			Non-REM
9382.0	101.0	sleep_states			REM
9484.0	38.0	sleep_states			MA
9523.0	28.0	sleep_states			Non-REM
9552.0	601.0	sleep_states			Awake
10154.0	8.0	sleep_states			Non-REM
10163.0	147.0	sleep_states			Awake
10311.0	12.0	sleep_states			Non-REM
10324.0	34.0	sleep_states			MA
10359.0	17.0	sleep_states			Non-REM
10377.0	211.0	sleep_states			Awake
10589.0	10.0	sleep_states			Non-REM
10600.0	1081.0	sleep_states			Awake
11682.0	24.0	sleep_states			Non-REM
11707.0	7.0	sleep_states			MA
11715.0	27.0	sleep_states			Non-REM
11743.0	14.0	sleep_states			MA
11758.0	50.0	sleep_states			Non-REM
11809.0	19.0	sleep_states			MA
11829.0	82.0	sleep_states			Non-REM
11912.0	30.0	sleep_states			MA
11943.0	94.0	sleep_states			Non-REM
12038.0	39.0	sleep_states			MA
12078.0	114.0	sleep_states			Non-REM
12193.0	7.0	sleep_states			MA
12201.0	42.0	sleep_states			Non-REM
12244.0	54.0	sleep_states			MA
12299.0	10.0	sleep_states			Non-REM
12310.0	16.0	sleep_states			MA
12327.0	71.0	sleep_states			Non-REM
12399.0	8.0	sleep_states			MA
12408.0	149.0	sleep_states			Non-REM
12558.0	51.0	sleep_states			REM
12610.0	32.0	sleep_states			MA
12643.0	10.0	sleep_states			Non-REM
12654.0	8.0	sleep_states			REM
12663.0	15.0	sleep_states			MA
12679.0	49.0	sleep_states			Non-REM
12729.0	30.0	sleep_states			MA
12760.0	20.0	sleep_states			Non-REM
12781.0	80.0	sleep_states			MA
12862.0	9.0	sleep_states			Non-REM
12872.0	33.0	sleep_states			MA
12906.0	32.0	sleep_states			Non-REM
12939.0	10.0	sleep_states			MA
12950.0	66.0	sleep_states			Non-REM
13017.0	11.0	sleep_states			MA
13029.0	89.0	sleep_states			Non-REM
13119.0	28.0	sleep_states			REM
13148.0	52.0	sleep_states			MA
13201.0	87.0	sleep_states			Non-REM
13289.0	28.0	sleep_states			MA
13318.0	22.0	sleep_states			Non-REM
13341.0	13.0	sleep_states			MA
13355.0	28.0	sleep_states			Non-REM
13384.0	16.0	sleep_states			MA
13401.0	185.0	sleep_states			Non-REM
13587.0	45.0	sleep_states			REM
13633.0	233.0	sleep_states			Awake
13867.0	7.0	sleep_states			Non-REM
13875.0	13.0	sleep_states			MA
13889.0	18.0	sleep_states			Non-REM
13908.0	41.0	sleep_states			MA
13950.0	17.0	sleep_states			Non-REM
13968.0	7.0	sleep_states			MA
13976.0	20.0	sleep_states			Non-REM
13997.0	47.0	sleep_states			MA
14045.0	11.0	sleep_states			Non-REM
14057.0	12.0	sleep_states			MA
14070.0	11.0	sleep_states			Non-REM
14082.0	83.0	sleep_states			MA
14166.0	8.0	sleep_states			Non-REM
14175.0	710.0	sleep_states			Awake
14886.0	7.0	sleep_states			Non-REM
14894.0	435.0	sleep_states			Awake
14904.541666666666	2097.8916666666682	epochs			
14904.541666666666	3.125	trials	counter-clockwise	central alternation	
14918.8	3.1583333333328483	trials	counter-clockwise	central alternation	
14938.141666666665	3.1916666666675155	trials	counter-clockwise	central alternation	
14950.116666666665	4.774999999999636	trials	counter-clockwise	central alternation	
14957.3	3.8416666666653327	trials	counter-clockwise	central alternation	
14971.508333333331	3.633333333333212	trials	counter-clockwise	central alternation	
14987.224999999999	2.991666666666788	trials	counter-clockwise	central alternation	
14992.808333333332	3.524999999999636	trials	counter-clockwise	central alternation	
15001.05	3.608333333333576	trials	counter-clockwise	central alternation	
15006.874999999998	3.524999999999636	trials	counter-clockwise	central alternation	
15013.374999999998	3.1583333333346673	trials	counter-clockwise	central alternation	
15019.008333333331	3.225000000000364	trials	counter-clockwise	central alternation	
15029.266666666665	3.5500000000010914	trials	counter-clockwise	central alternation	
15044.666666666666	3.608333333331757	trials	counter-clockwise	central alternation	
15057.891666666665	4.45833333333394	trials	counter-clockwise	central alternation	
15074.074999999999	3.4583333333339397	trials	counter-clockwise	central alternation	
15083.425	3.3083333333324845	trials	counter-clockwise	central alternation	
15089.008333333331	4.5583333333343035	trials	counter-clockwise	central alternation	
15097.999999999998	3.7083333333339397	trials	counter-clockwise	central alternation	
15110.558333333332	4.54166666666606	trials	counter-clockwise	central alternation	
15118.183333333332	3.483333333333576	trials	counter-clockwise	central alternation	
15126.341666666665	3.6749999999992724	trials	counter-clockwise	central alternation	
15137.883333333331	3.6583333333346673	trials	counter-clockwise	central alternation	
15143.974999999999	3.2833333333328483	trials	counter-clockwise	central alternation	
15149.208333333332	3.4249999999992724	trials	counter-clockwise	central alternation	
15155.374999999998	3.7166666666671517	trials	counter-clockwise	central alternation	
15164.874999999998	3.6916666666675155	trials	counter-clockwise	central alternation	
15171.116666666665	3.741666666666788	trials	counter-clockwise	central alternation	
15179.05	3.625	trials	counter-clockwise	central alternation	
15185.558333333332	3.741666666666788	trials	counter-clockwise	central alternation	
15198.241666666665	3.5	trials	counter-clockwise	central alternation	
15205.133333333331	3.366666666666788	trials	counter-clockwise	central alternation	
15211.041666666666	3.274999999999636	trials	counter-clockwise	central alternation	
15219.374999999998	3.4500000000007276	trials	counter-clockwise	central alternation	
15225.008333333331	3.383333333333212	trials	counter-clockwise	central alternation	
15230.883333333331	3.5333333333346673	trials	counter-clockwise	central alternation	
15245.258333333331	3.4250000000010914	trials	counter-clockwise	central alternation	
15251.108333333332	3.483333333333576	trials	counter-clockwise	central alternation	
15284.083333333332	3.4166666666660603	trials	counter-clockwise	central alternation	
15289.858333333332	3.758333333333212	trials	counter-clockwise	central alternation	
15294.866666666665	4.125	trials	counter-clockwise	central alternation	
