name	electrode_name	type	units
ch000	e000	n/a	V
ch002	e002	n/a	V
ch004	e004	n/a	V
ch006	e006	n/a	V
ch008	e008	n/a	V
ch010	e010	n/a	V
ch012	e012	n/a	V
ch014	e014	n/a	V
ch016	e016	n/a	V
ch018	e018	n/a	V
ch020	e020	n/a	V
ch022	e022	n/a	V
ch024	e024	n/a	V
ch026	e026	n/a	V
ch028	e028	n/a	V
ch030	e030	n/a	V
ch003	e003	n/a	V
ch005	e005	n/a	V
ch007	e007	n/a	V
ch009	e009	n/a	V
ch011	e011	n/a	V
ch013	e013	n/a	V
ch015	e015	n/a	V
ch017	e017	n/a	V
ch019	e019	n/a	V
ch021	e021	n/a	V
ch023	e023	n/a	V
ch025	e025	n/a	V
ch029	e029	n/a	V
ch031	e031	n/a	V
