onset	duration	nwb_table	direction	trial_type
0.0	5271.7	epochs		
5271.7	4243.216666666666	epochs		
5271.7	2.7833333333337578	trials	clockwise	wheel alternation
5271.7	2.7833333333337578	trials	clockwise	wheel alternation
5282.316666666667	3.100000000000364	trials	clockwise	wheel alternation
5293.591666666666	3.683333333333394	trials	clockwise	wheel alternation
5301.983333333334	2.949999999999818	trials	clockwise	wheel alternation
5311.383333333333	3.100000000000364	trials	clockwise	wheel alternation
5317.966666666666	3.0750000000007276	trials	clockwise	wheel alternation
5324.733333333334	3.633333333333212	trials	clockwise	wheel alternation
5330.991666666667	3.949999999999818	trials	clockwise	wheel alternation
5337.825	3.5	trials	clockwise	wheel alternation
5345.858333333334	3.766666666666424	trials	clockwise	wheel alternation
5353.416666666667	3.399999999999636	trials	clockwise	wheel alternation
5369.991666666667	2.8499999999994543	trials	clockwise	wheel alternation
5378.358333333334	2.75	trials	clockwise	wheel alternation
5388.575	4.025000000000546	trials	clockwise	wheel alternation
5397.566666666667	3.516666666666424	trials	clockwise	wheel alternation
5407.575	3.850000000000364	trials	clockwise	wheel alternation
5413.091666666666	3.4500000000007276	trials	clockwise	wheel alternation
5426.183333333333	3.824999999999818	trials	clockwise	wheel alternation
5432.866666666667	3.433333333333394	trials	clockwise	wheel alternation
5439.825	3.0250000000005457	trials	clockwise	wheel alternation
5445.716666666666	3.808333333333394	trials	clockwise	wheel alternation
5546.483333333334	3.8416666666662422	trials	clockwise	wheel alternation
5602.058333333333	2.875	trials	clockwise	wheel alternation
5623.883333333333	7.024999999999636	trials	clockwise	wheel alternation
5637.433333333333	2.741666666666788	trials	clockwise	wheel alternation
5646.866666666667	5.224999999999454	trials	clockwise	wheel alternation
5646.866666666667	5.224999999999454	trials	clockwise	wheel alternation
5661.341666666666	4.491666666666788	trials	clockwise	wheel alternation
5661.341666666666	4.491666666666788	trials	clockwise	wheel alternation
5681.441666666667	4.175000000000182	trials	clockwise	wheel alternation
5704.933333333333	3.66666666666697	trials	clockwise	wheel alternation
5732.608333333334	3.616666666666788	trials	clockwise	wheel alternation
5753.266666666666	3.699999999999818	trials	clockwise	wheel alternation
5773.466666666666	4.08333333333394	trials	clockwise	wheel alternation
5877.208333333333	3.058333333333394	trials	clockwise	wheel alternation
