onset	duration	nwb_table	direction	trial_type
0.0	7499.120833333333	epochs		
7499.120833333333	1596.1041666666652	epochs		
7499.120833333333	3.8187499999994543	trials	counter-clockwise	central alternation
7506.18125	3.3791666666675155	trials	counter-clockwise	central alternation
7512.245833333333	3.116666666666788	trials	counter-clockwise	central alternation
7517.610416666666	3.3104166666671517	trials	counter-clockwise	central alternation
7522.729166666666	5.082812500000728	trials	counter-clockwise	central alternation
7528.295833333334	2.5437499999989086	trials	counter-clockwise	central alternation
7563.114583333334	5.04166666666606	trials	counter-clockwise	central alternation
7569.5125	3.534635416666788	trials	counter-clockwise	central alternation
7593.604166666666	2.9416666666675155	trials	counter-clockwise	central alternation
7598.770833333333	3.36979166666697	trials	counter-clockwise	central alternation
7604.804166666667	3.39583333333303	trials	counter-clockwise	central alternation
7609.63125	4.410416666666606	trials	counter-clockwise	central alternation
7619.655989583333	3.539843749999818	trials	counter-clockwise	central alternation
7637.893782552083	3.314550781249636	trials	counter-clockwise	central alternation
7655.925	2.9354166666662422	trials	counter-clockwise	central alternation
7661.989583333334	3.7291666666660603	trials	counter-clockwise	central alternation
7668.9859375	5.084895833333576	trials	counter-clockwise	central alternation
7685.456249999999	3.0020833333337578	trials	counter-clockwise	central alternation
7691.283333333333	3.323958333333394	trials	counter-clockwise	central alternation
7697.2875	3.353124999999636	trials	counter-clockwise	central alternation
7703.257291666667	3.50520833333303	trials	counter-clockwise	central alternation
7709.079166666666	3.844791666666424	trials	counter-clockwise	central alternation
7714.8708333333325	3.9562500000010914	trials	counter-clockwise	central alternation
7722.789194738865	3.7355448444677677	trials	counter-clockwise	central alternation
7728.020833333333	3.25	trials	counter-clockwise	central alternation
7734.0234375	4.867708333333212	trials	counter-clockwise	central alternation
7749.954166666666	3.617447916666606	trials	counter-clockwise	central alternation
7757.342708333334	4.094791666666424	trials	counter-clockwise	central alternation
7769.430989583333	3.0981770833341216	trials	counter-clockwise	central alternation
7777.858333333334	3.2374999999992724	trials	clockwise	central alternation
7783.2109375	3.3927083333328483	trials	clockwise	central alternation
7790.329166666666	3.133333333333212	trials	clockwise	central alternation
7803.782552083333	2.921614583333394	trials	clockwise	central alternation
7813.545833333334	3.9171874999992724	trials	clockwise	central alternation
7821.645833333333	3.2354166666673336	trials	clockwise	central alternation
7827.5625	3.6041666666660603	trials	clockwise	central alternation
