onset	duration	nwb_table
0.0	12857.235550000001	epochs
12857.235550000001	3593.9248750000006	epochs
12857.235550000001	2.0999249999986205	trials
12860.843725	1.6999249999989843	trials
12977.9719	1.924924999999348	trials
12995.2419875	2.0873874999997497	trials
13000.25425	2.0332499999985885	trials
13004.545725	1.8499249999986205	trials
13008.3080625	1.6874375000006694	trials
13017.1076875	1.812412499999482	trials
13021.179378125002	2.1738468749990716	trials
13024.944825	1.8832499999989523	trials
13033.77986875	1.9145062499992491	trials
15885.2812375	2.079062500000873	trials
15891.118475	2.3582249999999476	trials
15895.920596875	2.7558781250008906	trials
15907.7802375	1.9457375000001775	trials
15914.71639375	2.755081249999421	trials
15923.3608	2.106149999999616	trials
15947.7534625	2.0540875000006054	trials
15959.70295	2.1707249999999476	trials
15966.011	1.7874250000004395	trials
15971.97948125	2.093668749999779	trials
15994.006117187499	2.2243828125028813	trials
16003.5156	2.0978249999989202	trials
16008.613275	1.9332500000000437	trials
16056.471268554687	2.0231564453133615	trials
16080.36845	1.8499250000004395	trials
16098.684325	1.7415750000000116	trials
16107.9839	1.7582500000007713	trials
16114.441428125	2.3004218749993015	trials
16126.491425	2.34572499999922	trials
16138.23673125	1.9374187499997788	trials
16151.306858984375	1.8500660156241793	trials
16165.318874999999	2.1082375000023603	trials
16172.555532812501	1.825442187498993	trials
16190.555275	2.0498999999999796	trials
16202.5672375	2.7917204101577227	trials
16226.553675	2.0498999999999796	trials
16238.49065	1.6624250000004395	trials
16254.30245	2.2082250000003114	trials
16265.905059375	2.6550906250013213	trials
16280.309625	2.1249250000000757	trials
16304.6210625	2.2749000000003434	trials
16330.8782375	2.0957375000016327	trials
16344.0589	2.014500000001135	trials
16350.90235	1.8124250000000757	trials
16356.668762500001	2.312412499999482	trials
16371.473328125001	2.073846874998708	trials
16392.263025	2.433225000000675	trials
16399.429375	1.7832500000004075	trials
16407.471728125	2.640521874996921	trials
16414.1495625	1.9124124999980268	trials
16432.844575000003	1.733249999997497	trials
16437.386025	3.175410546875355	trials
16448.964687500003	2.1957374999983585	trials
16451.160425000002	12573.335574999997	epochs
