onset	duration	nwb_table	direction	trial_type	label
0.0	8372.158333333333	epochs			
5.0	1407.0	sleep_states			Awake
1413.0	11.0	sleep_states			Non-REM
1425.0	9.0	sleep_states			MA
1435.0	7.0	sleep_states			Non-REM
1443.0	70.0	sleep_states			MA
1514.0	8.0	sleep_states			Non-REM
1523.0	18.0	sleep_states			MA
1542.0	15.0	sleep_states			Non-REM
1558.0	22.0	sleep_states			MA
1581.0	10.0	sleep_states			Non-REM
1592.0	49.0	sleep_states			MA
1642.0	17.0	sleep_states			Non-REM
1660.0	9.0	sleep_states			MA
1670.0	9.0	sleep_states			Non-REM
1680.0	20.0	sleep_states			MA
1701.0	43.0	sleep_states			Non-REM
1745.0	8.0	sleep_states			MA
1754.0	35.0	sleep_states			Non-REM
1790.0	11.0	sleep_states			MA
1802.0	19.0	sleep_states			Non-REM
1856.0	16.0	sleep_states			REM
1892.0	7.0	sleep_states			REM
1900.0	95.0	sleep_states			MA
1996.0	7.0	sleep_states			Non-REM
2004.0	2920.0	sleep_states			Awake
4925.0	12.0	sleep_states			Non-REM
4938.0	26.0	sleep_states			MA
4965.0	11.0	sleep_states			Non-REM
4977.0	16.0	sleep_states			MA
4994.0	13.0	sleep_states			Non-REM
5008.0	10.0	sleep_states			MA
5019.0	44.0	sleep_states			Non-REM
5064.0	14.0	sleep_states			MA
5079.0	99.0	sleep_states			Non-REM
5179.0	90.0	sleep_states			MA
5270.0	18.0	sleep_states			Non-REM
5289.0	7.0	sleep_states			MA
5297.0	92.0	sleep_states			Non-REM
5390.0	10.0	sleep_states			MA
5401.0	13.0	sleep_states			Non-REM
5415.0	83.0	sleep_states			MA
5499.0	26.0	sleep_states			Non-REM
5526.0	60.0	sleep_states			MA
5587.0	66.0	sleep_states			Non-REM
5664.0	12.0	sleep_states			REM
5686.0	37.0	sleep_states			REM
5724.0	42.0	sleep_states			MA
5767.0	102.0	sleep_states			Non-REM
5870.0	8.0	sleep_states			MA
5879.0	24.0	sleep_states			Non-REM
5904.0	16.0	sleep_states			MA
5921.0	32.0	sleep_states			Non-REM
5954.0	1913.0	sleep_states			Awake
7868.0	7.0	sleep_states			Non-REM
7876.0	453.0	sleep_states			Awake
8330.0	12.0	sleep_states			Non-REM
8343.0	11.0	sleep_states			MA
8355.0	7.0	sleep_states			Non-REM
8363.0	14.0	sleep_states			MA
8372.158333333333	2962.749999999998	epochs			
8372.158333333333	2.875	trials	counter-clockwise	central alternation	
8378.0	12.0	sleep_states			Non-REM
8380.708333333334	2.983333333331757	trials	counter-clockwise	central alternation	
8386.55	3.108333333333576	trials	counter-clockwise	central alternation	
