onset	duration	nwb_table	direction	trial_type	label
0.0	10366.633333333333	epochs			
5.0	766.0	sleep_states			Awake
772.0	16.0	sleep_states			Non-REM
789.0	309.0	sleep_states			Awake
1099.0	10.0	sleep_states			Non-REM
1130.0	28.0	sleep_states			Non-REM
1180.0	8.0	sleep_states			Non-REM
1210.0	10.0	sleep_states			Non-REM
1237.0	15.0	sleep_states			Non-REM
1282.0	7.0	sleep_states			Non-REM
1304.0	10.0	sleep_states			Non-REM
1360.0	16.0	sleep_states			Non-REM
1387.0	71.0	sleep_states			Non-REM
1505.0	12.0	sleep_states			Non-REM
1518.0	250.0	sleep_states			Awake
1769.0	8.0	sleep_states			Non-REM
1778.0	1195.0	sleep_states			Awake
2974.0	10.0	sleep_states			Non-REM
3010.0	8.0	sleep_states			Non-REM
3019.0	225.0	sleep_states			Awake
3245.0	7.0	sleep_states			Non-REM
3332.0	20.0	sleep_states			Non-REM
3361.0	24.0	sleep_states			Non-REM
3457.0	91.0	sleep_states			Non-REM
3559.0	23.0	sleep_states			Non-REM
3599.0	37.0	sleep_states			Non-REM
3649.0	111.0	sleep_states			Non-REM
3771.0	67.0	sleep_states			Non-REM
3850.0	214.0	sleep_states			Non-REM
4123.0	53.0	sleep_states			Non-REM
4177.0	583.0	sleep_states			Awake
4761.0	9.0	sleep_states			Non-REM
4789.0	21.0	sleep_states			Non-REM
4811.0	8.0	sleep_states			REM
4820.0	27.0	sleep_states			Non-REM
4865.0	53.0	sleep_states			Non-REM
4934.0	43.0	sleep_states			Non-REM
4978.0	30.0	sleep_states			REM
5009.0	147.0	sleep_states			Non-REM
5168.0	14.0	sleep_states			Non-REM
5202.0	93.0	sleep_states			Non-REM
5305.0	48.0	sleep_states			Non-REM
5354.0	9.0	sleep_states			REM
5364.0	86.0	sleep_states			Non-REM
5505.0	82.0	sleep_states			Non-REM
5601.0	136.0	sleep_states			Non-REM
5738.0	111.0	sleep_states			REM
5850.0	363.0	sleep_states			Awake
