onset	duration	nwb_table	direction	trial_type	label
0.0	14675.275	epochs			
5.0	1219.0	sleep_states			Awake
1225.0	7.0	sleep_states			Non-REM
1256.0	31.0	sleep_states			Non-REM
1344.0	7.0	sleep_states			Non-REM
1363.0	45.0	sleep_states			Non-REM
1427.0	150.0	sleep_states			Non-REM
1600.0	34.0	sleep_states			Non-REM
1643.0	178.0	sleep_states			Non-REM
1822.0	10.0	sleep_states			REM
1846.0	201.0	sleep_states			Non-REM
2048.0	21.0	sleep_states			REM
2085.0	247.0	sleep_states			Non-REM
2333.0	7.0	sleep_states			REM
2352.0	35.0	sleep_states			REM
2397.0	8.0	sleep_states			REM
2415.0	8.0	sleep_states			REM
2424.0	2670.0	sleep_states			Awake
5095.0	55.0	sleep_states			Non-REM
5197.0	119.0	sleep_states			Non-REM
5371.0	132.0	sleep_states			Non-REM
5504.0	47.0	sleep_states			REM
5552.0	115.0	sleep_states			Awake
5668.0	7.0	sleep_states			Non-REM
5704.0	16.0	sleep_states			Non-REM
5721.0	117.0	sleep_states			Awake
5839.0	66.0	sleep_states			Non-REM
5995.0	21.0	sleep_states			Non-REM
6080.0	8.0	sleep_states			Non-REM
6106.0	98.0	sleep_states			Non-REM
6216.0	103.0	sleep_states			Non-REM
6344.0	171.0	sleep_states			Non-REM
6516.0	13.0	sleep_states			REM
6569.0	156.0	sleep_states			Non-REM
6726.0	22.0	sleep_states			REM
6773.0	165.0	sleep_states			Non-REM
6939.0	11.0	sleep_states			REM
6964.0	21.0	sleep_states			Non-REM
6986.0	21.0	sleep_states			REM
7079.0	9.0	sleep_states			REM
7089.0	3924.0	sleep_states			Awake
11014.0	8.0	sleep_states			Non-REM
11069.0	29.0	sleep_states			Non-REM
11142.0	11.0	sleep_states			Non-REM
11163.0	194.0	sleep_states			Non-REM
11376.0	98.0	sleep_states			Non-REM
11484.0	114.0	sleep_states			Non-REM
11609.0	45.0	sleep_states			Non-REM
11741.0	11.0	sleep_states			Non-REM
11753.0	2122.0	sleep_states			Awake
13876.0	16.0	sleep_states			Non-REM
13893.0	845.0	sleep_states			Awake
14675.275	1919.8333333333303	epochs			
14675.275	3.1749999999992724	trials	counter-clockwise	wheel alternation	
14689.491666666667	2.9416666666656965	trials	counter-clockwise	wheel alternation	
14704.675	2.6583333333346673	trials	counter-clockwise	wheel alternation	
14716.091666666667	2.6583333333328483	trials	counter-clockwise	wheel alternation	
14726.55	3.116666666666788	trials	counter-clockwise	wheel alternation	
14736.033333333333	2.983333333333576	trials	counter-clockwise	wheel alternation	
14739.0	8.0	sleep_states			Non-REM
14740.858333333334	2.741666666666788	trials	counter-clockwise	wheel alternation	
14745.699999999999	3.100000000000364	trials	counter-clockwise	wheel alternation	
14748.0	287.0	sleep_states			Awake
14757.058333333332	2.3000000000010914	trials	counter-clockwise	wheel alternation	
14766.5	3.733333333333576	trials	counter-clockwise	wheel alternation	
14772.516666666666	2.6666666666660603	trials	clockwise	wheel alternation	
14790.208333333334	2.891666666666424	trials	clockwise	wheel alternation	
14795.108333333334	2.991666666666788	trials	clockwise	wheel alternation	
14800.066666666666	2.375	trials	clockwise	wheel alternation	
14805.016666666666	3.25	trials	clockwise	wheel alternation	
14814.1	3.4333333333324845	trials	clockwise	wheel alternation	
14818.316666666666	2.7000000000007276	trials	clockwise	wheel alternation	
14827.949999999999	2.733333333333576	trials	clockwise	wheel alternation	
