onset	duration	nwb_table	direction	trial_type
0.0	9611.316666666666	epochs		
9611.316666666666	1174.5916666666672	epochs		
9611.316666666666	4.716666666667152	trials	clockwise	central alternation
9624.466666666667	4.366666666666788	trials	clockwise	central alternation
9645.158333333333	4.391666666666424	trials	clockwise	central alternation
9652.091666666667	4.66666666666606	trials	clockwise	central alternation
9660.091666666667	4.016666666666424	trials	clockwise	central alternation
9671.758333333333	3.108333333333576	trials	counter-clockwise	central alternation
9681.208333333334	3.491666666666788	trials	counter-clockwise	central alternation
9694.866666666667	3.3166666666656965	trials	counter-clockwise	central alternation
9708.583333333334	2.9499999999989086	trials	counter-clockwise	central alternation
9717.066666666666	4.575000000000728	trials	counter-clockwise	central alternation
9735.008333333333	3.4249999999992724	trials	counter-clockwise	central alternation
9742.525	4.08333333333394	trials	counter-clockwise	central alternation
9749.808333333332	3.4500000000007276	trials	counter-clockwise	central alternation
9762.658333333333	3.5916666666671517	trials	counter-clockwise	central alternation
9782.683333333332	3.741666666666788	trials	counter-clockwise	central alternation
9798.133333333333	3.6666666666660603	trials	counter-clockwise	central alternation
9810.35	3.516666666666424	trials	counter-clockwise	central alternation
9823.175	2.733333333333576	trials	counter-clockwise	central alternation
9829.566666666666	3.975000000000364	trials	counter-clockwise	central alternation
9837.2	3.358333333331757	trials	counter-clockwise	central alternation
9842.916666666666	3.2916666666678793	trials	clockwise	central alternation
9848.466666666667	3.858333333333576	trials	clockwise	central alternation
9861.866666666667	3.108333333333576	trials	clockwise	central alternation
9866.933333333332	3.133333333333212	trials	clockwise	central alternation
9882.458333333334	3.866666666666788	trials	clockwise	central alternation
9897.3	2.7083333333339397	trials	clockwise	central alternation
9908.591666666667	2.8249999999989086	trials	clockwise	central alternation
9914.425	3.1916666666675155	trials	counter-clockwise	central alternation
9921.55	3.233333333333576	trials	counter-clockwise	central alternation
9927.766666666666	3.0333333333328483	trials	counter-clockwise	central alternation
9940.375	3.008333333333212	trials	counter-clockwise	central alternation
9948.166666666666	3.0916666666671517	trials	counter-clockwise	central alternation
9953.941666666666	3.0583333333343035	trials	counter-clockwise	central alternation
9959.058333333332	3.5916666666671517	trials	counter-clockwise	central alternation
9989.333333333334	4.599999999998545	trials	counter-clockwise	central alternation
10002.375	3.241666666666788	trials	counter-clockwise	central alternation
10020.533333333333	3.116666666666788	trials	counter-clockwise	central alternation
10058.158333333333	2.9500000000007276	trials	counter-clockwise	central alternation
10062.9	3.350000000000364	trials	counter-clockwise	central alternation
10068.016666666666	3.4249999999992724	trials	counter-clockwise	central alternation
10082.658333333333	3.616666666666788	trials	counter-clockwise	central alternation
10096.791666666666	3.5500000000010914	trials	counter-clockwise	central alternation
10115.408333333333	3.4416666666675155	trials	counter-clockwise	central alternation
10120.941666666666	3.9416666666675155	trials	clockwise	central alternation
10127.25	3.274999999999636	trials	clockwise	central alternation
10135.575	3.4083333333328483	trials	clockwise	central alternation
10147.525	3.375	trials	clockwise	central alternation
10155.15	3.9500000000007276	trials	clockwise	central alternation
10160.091666666667	2.849999999998545	trials	clockwise	central alternation
10165.233333333334	3.258333333333212	trials	clockwise	central alternation
10170.5	3.1749999999992724	trials	clockwise	central alternation
10204.008333333333	3.125	trials	clockwise	central alternation
10230.625	3.516666666666424	trials	clockwise	central alternation
10256.966666666667	3.233333333333576	trials	clockwise	central alternation
10265.408333333333	3.0	trials	clockwise	central alternation
10271.941666666666	3.3083333333343035	trials	clockwise	central alternation
10286.55	3.4333333333343035	trials	clockwise	central alternation
10296.391666666666	3.2916666666660603	trials	clockwise	central alternation
10302.725	3.524999999999636	trials	clockwise	central alternation
10312.258333333333	4.341666666667152	trials	clockwise	central alternation
10328.1	3.149999999999636	trials	counter-clockwise	central alternation
10351.383333333333	3.233333333333576	trials	counter-clockwise	central alternation
10533.216666666667	3.6583333333328483	trials	counter-clockwise	central alternation
10540.175	3.8416666666671517	trials	counter-clockwise	central alternation
10581.166666666666	3.3416666666671517	trials	counter-clockwise	central alternation
10592.933333333332	5.891666666668243	trials	counter-clockwise	central alternation
10599.716666666667	2.741666666666788	trials	clockwise	central alternation
10613.883333333333	3.3416666666671517	trials	clockwise	central alternation
10650.525	2.6750000000010914	trials	clockwise	central alternation
10684.091666666667	3.099999999998545	trials	clockwise	central alternation
10695.291666666666	3.5583333333343035	trials	clockwise	central alternation
10729.175	3.650000000001455	trials	clockwise	central alternation
10738.558333333332	4.450000000000728	trials	clockwise	central alternation
10782.183333333332	3.725000000000364	trials	clockwise	central alternation
10785.908333333333	9027.123666666666	epochs		
